Ticker,Exchange Country
002967.sz,CN Exchange
002968.sz,CN Exchange
002969.sz,CN Exchange
002970.sz,CN Exchange
002971.sz,CN Exchange
002972.sz,CN Exchange
002973.sz,CN Exchange
002975.sz,CN Exchange
002976.sz,CN Exchange
002977.sz,CN Exchange
002978.sz,CN Exchange
002979.sz,CN Exchange
002980.sz,CN Exchange
002981.sz,CN Exchange
002982.sz,CN Exchange
002983.sz,CN Exchange
002984.sz,CN Exchange
002985.sz,CN Exchange
002986.sz,CN Exchange
002987.sz,CN Exchange
002988.sz,CN Exchange
002989.sz,CN Exchange
002990.sz,CN Exchange
002991.sz,CN Exchange
002992.sz,CN Exchange
002993.sz,CN Exchange
002995.sz,CN Exchange
002996.sz,CN Exchange
002997.sz,CN Exchange
002998.sz,CN Exchange
002999.sz,CN Exchange
003000.sz,CN Exchange
003001.sz,CN Exchange
003002.sz,CN Exchange
003003.sz,CN Exchange
003004.sz,CN Exchange
003005.sz,CN Exchange
003006.sz,CN Exchange
003007.sz,CN Exchange
003008.sz,CN Exchange
003009.sz,CN Exchange
003010.sz,CN Exchange
003011.sz,CN Exchange
003012.sz,CN Exchange
003013.sz,CN Exchange
003015.sz,CN Exchange
003016.sz,CN Exchange
003017.sz,CN Exchange
003018.sz,CN Exchange
003019.sz,CN Exchange
003020.sz,CN Exchange
003021.sz,CN Exchange
003022.sz,CN Exchange
003023.sz,CN Exchange
003025.sz,CN Exchange
003026.sz,CN Exchange
003027.sz,CN Exchange
003028.sz,CN Exchange
003029.sz,CN Exchange
003030.sz,CN Exchange
003031.sz,CN Exchange
003032.sz,CN Exchange
003033.sz,CN Exchange
003035.sz,CN Exchange
003036.sz,CN Exchange
003037.sz,CN Exchange
003038.sz,CN Exchange
003039.sz,CN Exchange
003040.sz,CN Exchange
003041.sz,CN Exchange
003042.sz,CN Exchange
003043.sz,CN Exchange
003816.sz,CN Exchange
200011.sz,CN Exchange
200012.sz,CN Exchange
200016.sz,CN Exchange
200017.sz,CN Exchange
200019.sz,CN Exchange
200020.sz,CN Exchange
200025.sz,CN Exchange
200026.sz,CN Exchange
200028.sz,CN Exchange
200029.sz,CN Exchange
200030.sz,CN Exchange
200037.sz,CN Exchange
200045.sz,CN Exchange
200055.sz,CN Exchange
200056.sz,CN Exchange
200058.sz,CN Exchange
200429.sz,CN Exchange
200468.sz,CN Exchange
200488.sz,CN Exchange
200505.sz,CN Exchange
200512.sz,CN Exchange
200521.sz,CN Exchange
200530.sz,CN Exchange
200539.sz,CN Exchange
200541.sz,CN Exchange
200550.sz,CN Exchange
200570.sz,CN Exchange
200581.sz,CN Exchange
200596.sz,CN Exchange
200625.sz,CN Exchange
200706.sz,CN Exchange
200725.sz,CN Exchange
200726.sz,CN Exchange
200761.sz,CN Exchange
200771.sz,CN Exchange
200869.sz,CN Exchange
200992.sz,CN Exchange
201872.sz,CN Exchange
300001.sz,CN Exchange
300002.sz,CN Exchange
300003.sz,CN Exchange
300004.sz,CN Exchange
300005.sz,CN Exchange
300006.sz,CN Exchange
300007.sz,CN Exchange
300008.sz,CN Exchange
300009.sz,CN Exchange
300010.sz,CN Exchange
300011.sz,CN Exchange
300012.sz,CN Exchange
300013.sz,CN Exchange
300014.sz,CN Exchange
300015.sz,CN Exchange
300016.sz,CN Exchange
300017.sz,CN Exchange
300018.sz,CN Exchange
300019.sz,CN Exchange
300020.sz,CN Exchange
300021.sz,CN Exchange
300022.sz,CN Exchange
300024.sz,CN Exchange
300025.sz,CN Exchange
300026.sz,CN Exchange
300027.sz,CN Exchange
300029.sz,CN Exchange
300030.sz,CN Exchange
300031.sz,CN Exchange
300032.sz,CN Exchange
300033.sz,CN Exchange
300034.sz,CN Exchange
300035.sz,CN Exchange
300036.sz,CN Exchange
300037.sz,CN Exchange
300039.sz,CN Exchange
300040.sz,CN Exchange
300041.sz,CN Exchange
300042.sz,CN Exchange
300043.sz,CN Exchange
300044.sz,CN Exchange
300045.sz,CN Exchange
300046.sz,CN Exchange
300047.sz,CN Exchange
300048.sz,CN Exchange
300049.sz,CN Exchange
300050.sz,CN Exchange
300051.sz,CN Exchange
300052.sz,CN Exchange
300053.sz,CN Exchange
300054.sz,CN Exchange
300055.sz,CN Exchange
300056.sz,CN Exchange
300057.sz,CN Exchange
300058.sz,CN Exchange
300059.sz,CN Exchange
300061.sz,CN Exchange
300062.sz,CN Exchange
300063.sz,CN Exchange
300065.sz,CN Exchange
300066.sz,CN Exchange
300067.sz,CN Exchange
300068.sz,CN Exchange
300069.sz,CN Exchange
300070.sz,CN Exchange
300071.sz,CN Exchange
300072.sz,CN Exchange
300073.sz,CN Exchange
300074.sz,CN Exchange
300075.sz,CN Exchange
300076.sz,CN Exchange
300077.sz,CN Exchange
300078.sz,CN Exchange
300079.sz,CN Exchange
300080.sz,CN Exchange
