Ticker,Security Type,Exchange,Country,Sector,Current Price,Shares Outstanding,Market Cap,Net Income,EPS,P/E Ratio (TTM),BVPS,P/B Ratio,Earnings Growth,Revenue Growth,Dividend Yield,Gross Margin,Profit Margin,Debt to Equity,Free Cash Flow,Current Ratio,Quick Ratio,ROE,ROA
0144.hk,EQUITY,HKG,Hong Kong,Industrials,16.24,4198009186.0,68679426048.0,7050999808.0,1.68,9.666667,25.642,0.63333595,-0.267,0.674,5.46,0.48016998,0.5687,26.775,1907500032.0,0.778,0.639,0.06759,0.01627
0145.hk,EQUITY,HKG,Hong Kong,Industrials,0.206,261081970.0,53782884.0,-15964000.0,-0.07,,0.196,1.0510204,,-0.15,,0.12921,-0.31701002,26.743,-21862750.0,2.573,1.525,-0.35165,-0.145
0146.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,1.88,212187488.0,398912480.0,43780000.0,0.21,8.952381,2.26,0.8318584,0.113,0.05,6.38,0.60965997,0.06645,28.957,65869000.0,1.542,1.348,0.09369001,0.038039997
0147.hk,EQUITY,HKG,Hong Kong,Real Estate,0.243,23101402320.0,5613641216.0,-228747008.0,-0.01,,0.015,16.2,,,,-0.16773,-1.2285299,346.677,155612752.0,0.849,0.251,-1.03854,-0.0719
0148.hk,EQUITY,HKG,Hong Kong,Industrials,27.24,1108311736.0,30988394496.0,2705050112.0,2.44,11.163934,56.449,0.48255947,0.713,0.058,5.07,0.18368,0.061079998,36.991,2804953600.0,2.016,1.242,0.04893,0.02842
0149.hk,EQUITY,HKG,Hong Kong,Real Estate,0.076,9953067822.0,766386240.0,7833000.0,0.0,,0.164,0.4634146,,-0.104,,0.56264,0.01475,56.522,154579008.0,1.585,0.279,0.01569,0.017
0154.hk,EQUITY,HKG,Hong Kong,Industrials,0.57,1500360150.0,855205312.0,277545984.0,0.2,2.85,2.54,0.22440945,-0.047,-0.101,,0.38491002,0.17674999,111.451,-134189752.0,0.887,0.702,0.07524,0.03063
0239.hk,EQUITY,HKG,Hong Kong,Healthcare,2.45,311640000.0,763518016.0,70965000.0,0.23,10.652174,2.26,1.0840708,-0.162,-0.285,2.78,0.86921996,0.35563,0.68,29853376.0,6.47,6.214,0.09751,0.06889
0256.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,0.171,4351888206.0,744172928.0,-303140992.0,-0.07,,0.887,0.19278467,,-0.223,,0.66745,-0.21632,20.633,-1426257024.0,13.126,11.419,-0.0837,0.0011
0264.hk,EQUITY,HKG,Hong Kong,Consumer Cyclical,2.16,461740000.0,997358464.0,-15111000.0,-0.04,,-0.123,-17.560976,,1.067,,0.2861,-0.48451,,-8543250.0,0.342,0.245,,-0.57318
